feature,importance
CREDIT_UTILIZATION,0.05363562259766979
AGE,0.0511785218379612
MAX_PAYMENT_DELAY,0.04946941639791828
TOTAL_PAY,0.047054725965161734
LIMIT_BAL,0.046477194802628206
PAYMENT_RATIO,0.045225260091361616
BILL_AMT1,0.04501333229828462
AVG_PAYMENT_DELAY,0.04445615965964975
TOTAL_BILL,0.044246973350480716
DELAYED_MONTHS_COUNT,0.041426604231908
PAY_0,0.04123862810613077
BILL_AMT2,0.039010598091249515
PAY_AMT2,0.03883828983394353
PAY_AMT1,0.03816605639006096
BILL_AMT5,0.03739016402433182
BILL_AMT3,0.037114234980061056
BILL_AMT6,0.036405877843251645
BILL_AMT4,0.03616649992635108
PAY_AMT3,0.03602468589896382
PAY_AMT6,0.034453509004305286
PAY_AMT4,0.03371788058158463
PAY_AMT5,0.032276806658435075
PAY_2,0.02076978250331189
EDUCATION,0.015630613397434552
PAY_3,0.013980409471711025
MARRIAGE,0.009889871604361907
PAY_4,0.00917350690717062
SEX,0.008688470404274696
PAY_6,0.006628318205721317
PAY_5,0.0062519849343210575
